연번,학교급,시군명,읍면동,설립별,학교명,신설휴원,학급수,학생수,우편번호,주소,연락처,팩스번호,비고
933,중학교,천안,성남면,공립,천남중학교,,3,58,31245,충남 천안시 동남구 성남면 신사대화로 403,041-553-0842,041-553-5868,
934,중학교,천안,성성동,공립,천안가람중학교,신설,23,653,31078,충남 천안시 서북구 성성6로 40,041-622-0931,041-622-0935,2025-03-01자 개교
935,중학교,천안,봉명동,사립,천안계광중학교,,19,517,31150,충남 천안시 동남구 봉명로53,041-572-9013,041-572-9012,
936,중학교,천안,성황동,사립,복자여자중학교,,16,492,31122,충남 천안시 동남구 복자1길 1,041-551-6003,041-568-0784,
937,중학교,천안,유량동,사립,천성중학교,,16,414,31068,충남 천안시 동남구 벌말1길 7,041-551-7451,041-555-7450,
938,중학교,천안,봉명동,사립,천안서여자중학교,,19,435,31151,충남 천안시 동남구 천안여상로 44,041-574-9333,041-574-9266,
939,중학교,천안,풍세면,사립,광풍중학교,,11,263,31217,충남 천안시 동남구 풍세면 광풍로 1021-11,041-566-7012,041-553-4302,
940,중학교,천안,성환읍,사립,천안동성중학교,,13,305,31019,충남 천안시 서북구 성환읍 성환1로 138,041-582-6183,041-582-6186,
1097,중학교,천안,원성동,공립,천안중학교부설방송통신중학교,,6,134,31127,충남 천안시 동남구 충절로 90,041-567-0900,041-563-0243,
1099,고등학교,천안,원성동,공립,천안제일고등학교,,24,416,31127,충남 천안시 동남구 버들로 71 (원성동),041-551-3057,041-563-0792,
1100,고등학교,천안,성황동,공립,천안공업고등학교,,45,943,31123,충남 천안시 동남구 성황5길 17 (성황동),041-558-9801,041-558-9817,
1101,고등학교,천안,원성동,공립,천안중앙고등학교,,39,1286,31126,충남 천안시 동남구 충절로91,041-567-7910,041-551-4335,
1102,고등학교,천안,삼룡동,공립,천안여자고등학교,,35,959,31073,충남 천안시 동남구 삼룡3길 30(삼룡동),041-559-9300,041-567-8303,
1103,고등학교,천안,병천면,공립,병천고등학교,,19,428,31256,충남 천안시 동남구 병천면 충절로 1872,041-561-9671,041-561-9674,
1104,고등학교,천안,성환읍,공립,성환고등학교,,16,356,31008,충남 천안시 서북구 성환읍 신방로 354 ,041-588-2001,041-588-2011,
1105,고등학교,천안,목천읍,공립,목천고등학교,,13,290,31231,충남 천안시 동남구 목천읍 삼방로 145,041-559-1616,041-557-2439,
1106,고등학교,천안,성거읍,공립,충남예술고등학교,,16,419,31044,충남 천안시 서북구 성거읍 천흥2길 42,041-555-8001,041-555-8004,
1107,고등학교,천안,두정동,공립,천안두정고등학교,,44,1426,31089,충남 천안시 서북구 두정고2길 13,041-522-7371,041-522-7374,
1108,고등학교,천안,불당동,공립,천안월봉고등학교,,40,1272,31164,충남 천안시 서북구 불당 11로 51,041-622-5195,041-622-5196,
1109,고등학교,천안,쌍용동,공립,천안쌍용고등학교,,44,1385,31179,충남 천안시 서북구 월봉7길 10,041-592-5313,041-576-1252,
1110,고등학교,천안,신당동,공립,천안신당고등학교,,32,1000,31083,충남 천안시 서북구 신당새터 2길 36,041-523-4822,041-523-4829,
1111,고등학교,천안,성성동,공립,천안오성고등학교,,40,1293,31079,충남 천안시 서북구 과수원길 27,041-558-3702,041-558-3708,
1112,고등학교,천안,업성동,공립,천안업성고등학교,,36,1037,31076,충남 천안시 서북구 업성3길 65-11,041-587-7903,041-587-7909,
1113,고등학교,천안,청수동,공립,천안청수고등학교,,41,1226,31194,충남 천안시 동남구 청수로 82-46,041-590-7100,041-622-6493,
1114,고등학교,천안,불당동,공립,천안불당고등학교,,40,1292,31156,충남 천안시 서북구 불당29길 22,041-622-9571,041-622-9573,
1115,고등학교,천안,봉명동,사립,천안고등학교,,33,1094,31150,충남 천안시 동남구 봉명로 53,041-412-5000,041-574-8037,
1116,고등학교,천안,신당동,사립,천안상업고등학교,,36,838,31081,충남 천안시 서북구 천일고1길 43-9(신당동),041-551-6512,041-567-3677,
1117,고등학교,천안,성황동,사립,복자여자고등학교,,24,614,31122,충남 천안시 동남구 복자1길 1(성황동),041-551-6001,041-555-7689,
1118,고등학교,천안,봉명동,사립,천안여자상업고등학교,,29,667,31151,충남 천안시 동남구 천안여상로 44(봉명동 216-1),041-576-6363,041-574-9266,
1119,고등학교,천안,신부동,사립,북일고등학교,,36,1018,31115,충남 천안시 동남구 단대로 69,041-520-8600,041-551-7116,
1120,고등학교,천안,신부동,사립,북일여자고등학교,,24,671,31115,충남 천안시 동남구 단대로71,041-520-8707,041-554-8887,
1217,고등학교,천안,원성동,공립,천안중앙고등학교부설방송통신고등학교,,12,378,31126,충남 천안시 동남구 충절로91(원성동460-1),041-563-3352,041-551-4335,
1221,특수학교,천안,,공립,천안인애학교,,51,293,31048,충남 천안시 성거읍 봉주로 229,041-629-9018,041-583-0868,
1225,특수학교,천안,,공립,천안늘해랑학교,,13,79,31256,충남 천안시 동남구 병천면 유관순길 86,041-417-2500,041-554-2501,
1228,특수학교,천안,,사립,나사렛새꿈학교,,33,129,31172,충남 천안시 서북구 월봉로 48,041-579-1296,041-579-1298,
1234,각종학교,천안,삼룡동,사립,드림학교(중),,3,9,31071,충남 천안시 동남구 충절로 535-31(고려신학대학원 내) ,041-563-1934,041-563-1935,중
1235,각종학교,천안,삼룡동,사립,드림학교(고),,3,33,31071,충남 천안시 동남구 충절로 535-31(고려신학대학원 내) ,041-563-1934,041-563-1935,고
